,ruleId,severity,message,line,column,nodeType,messageId,endLine,endColumn,filePath
494,complexity,2,Function 'n' has a complexity of 3. Maximum allowed is 1.,7,58009,FunctionExpression,complex,7,58224,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
495,complexity,2,Function 'zn' has a complexity of 7. Maximum allowed is 1.,7,58357,FunctionDeclaration,complex,7,58617,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
496,complexity,2,Function 'Bn' has a complexity of 6. Maximum allowed is 1.,7,58617,FunctionDeclaration,complex,7,59262,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
497,complexity,2,Function 'Un' has a complexity of 4. Maximum allowed is 1.,7,59457,FunctionDeclaration,complex,7,60010,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
498,complexity,2,Function has a complexity of 2. Maximum allowed is 1.,7,59750,FunctionExpression,complex,7,59835,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
499,complexity,2,Function has a complexity of 2. Maximum allowed is 1.,7,59878,FunctionExpression,complex,7,59924,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
500,complexity,2,Function 'Kn' has a complexity of 2. Maximum allowed is 1.,7,60019,FunctionDeclaration,complex,7,60376,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
501,complexity,2,Function 'jn' has a complexity of 2. Maximum allowed is 1.,7,60376,FunctionDeclaration,complex,7,61107,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
502,complexity,2,Function has a complexity of 2. Maximum allowed is 1.,7,60408,FunctionExpression,complex,7,60778,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
503,complexity,2,Function has a complexity of 6. Maximum allowed is 1.,7,60450,FunctionExpression,complex,7,60752,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
504,complexity,2,Function has a complexity of 2. Maximum allowed is 1.,7,60781,FunctionExpression,complex,7,61105,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
505,complexity,2,Function has a complexity of 7. Maximum allowed is 1.,7,60848,FunctionExpression,complex,7,61101,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
506,complexity,2,Function 'Xn' has a complexity of 11. Maximum allowed is 1.,7,61107,FunctionDeclaration,complex,7,61755,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
507,complexity,2,Function has a complexity of 3. Maximum allowed is 1.,7,61146,FunctionExpression,complex,7,61439,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
508,complexity,2,Function 'Yn' has a complexity of 6. Maximum allowed is 1.,7,61755,FunctionDeclaration,complex,7,62255,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
509,complexity,2,Function '_n' has a complexity of 12. Maximum allowed is 1.,7,62255,FunctionDeclaration,complex,7,62794,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
510,complexity,2,Function '$n' has a complexity of 18. Maximum allowed is 1.,7,62794,FunctionDeclaration,complex,7,64690,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
511,complexity,2,Function has a complexity of 7. Maximum allowed is 1.,7,63097,FunctionExpression,complex,7,63694,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
512,complexity,2,Function has a complexity of 15. Maximum allowed is 1.,7,63697,FunctionExpression,complex,7,64288,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
513,complexity,2,Function 'qn' has a complexity of 2. Maximum allowed is 1.,7,64690,FunctionDeclaration,complex,7,64765,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
514,complexity,2,Function has a complexity of 2. Maximum allowed is 1.,7,64789,FunctionExpression,complex,7,64892,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
515,complexity,2,Function has a complexity of 2. Maximum allowed is 1.,7,64915,FunctionExpression,complex,7,65033,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
516,complexity,2,Function has a complexity of 3. Maximum allowed is 1.,7,65056,FunctionExpression,complex,7,65183,/home/skander/Projects/R/bookkeeping-analysis/repository/Bookkeeping/lib/public/assets/SmartEditor/codemirror/lib/codemirror.min.js
